parts_line_id,service_job_id,part_id,quantity,sale_date,dealer_id,region_id,revenue_inr,cost_inr,is_emergency_order
PL00000079,SJ0000034,P0168,2,2023-02-21,D039,R04,10098.44,6338.22,0
PL00000080,SJ0000034,P0080,1,2023-02-21,D039,R04,3661.77,2542.72,0
PL00000081,SJ0000034,P0176,4,2023-02-21,D039,R04,15705.88,9461.64,0
PL00000082,SJ0000034,P0107,1,2023-02-21,D039,R04,2574.67,1949.99,1
PL00000083,SJ0000034,P0001,2,2023-02-21,D039,R04,6640.14,4257.24,0
PL00000084,SJ0000035,P0160,1,2023-02-22,D024,R02,1413.17,858.11,0
PL00000085,SJ0000035,P0103,2,2023-02-22,D024,R02,6770.14,5317.18,0
PL00000086,SJ0000035,P0157,1,2023-02-22,D024,R02,47625.26,33245.59,0
PL00000087,SJ0000035,P0196,1,2023-02-22,D024,R02,587.41,455.66,0
PL00000088,SJ0000035,P0156,1,2023-02-22,D024,R02,2115.96,1636.39,0
PL00000089,SJ0000036,P0173,1,2023-02-22,D023,R02,1850.62,1130.11,0
PL00000090,SJ0000037,P0051,1,2023-02-23,D001,R02,14355.19,10113.99,0
PL00000091,SJ0000037,P0162,1,2023-02-23,D001,R02,1066.04,776.16,0
PL00000092,SJ0000038,P0144,1,2023-02-24,D035,R06,4116.79,2984.11,0
PL00000093,SJ0000038,P0022,1,2023-02-24,D035,R06,1421.32,994.67,0
PL00000094,SJ0000039,P0184,1,2023-02-24,D031,R04,1554.13,1203.81,0
PL00000095,SJ0000039,P0107,3,2023-02-24,D031,R04,7724.01,5849.97,0
PL00000096,SJ0000039,P0080,1,2023-02-24,D031,R04,3661.77,2542.72,0
PL00000097,SJ0000040,P0177,1,2023-02-24,D009,R04,29475.77,23408.69,0
PL00000098,SJ0000040,P0083,1,2023-02-24,D009,R04,2936.63,2287.93,0
PL00000099,SJ0000040,P0177,1,2023-02-24,D009,R04,29475.77,23408.69,0
PL00000100,SJ0000040,P0170,1,2023-02-24,D009,R04,4143.26,2498.56,0
PL00000101,SJ0000041,P0026,2,2023-02-25,D034,R06,4071.42,2833.9,0
PL00000102,SJ0000041,P0184,1,2023-02-25,D034,R06,1554.13,1203.81,0
PL00000103,SJ0000042,P0023,1,2023-02-27,D003,R05,2593.98,1769.07,0
PL00000104,SJ0000043,P0014,1,2023-02-27,D038,R01,41486.65,28956.22,0
PL00000105,SJ0000043,P0081,1,2023-02-27,D038,R01,1023.25,730.37,0
PL00000106,SJ0000043,P0198,1,2023-02-27,D038,R01,38864.34,30956.96,0
PL00000107,SJ0000043,P0198,1,2023-02-27,D038,R01,38864.34,30956.96,0
PL00000108,SJ0000043,P0198,1,2023-02-27,D038,R01,38864.34,30956.96,0
PL00000109,SJ0000044,P0152,1,2023-02-28,D021,R04,1045.55,633.9,0
PL00000110,SJ0000045,P0060,1,2023-03-03,D020,R02,1181.65,923.41,0
PL00000111,SJ0000045,P0022,2,2023-03-03,D020,R02,2842.64,1989.34,0
PL00000112,SJ0000045,P0022,1,2023-03-03,D020,R02,1421.32,994.67,0
PL00000113,SJ0000046,P0153,1,2023-03-03,D013,R05,1528.29,1009.68,0
PL00000114,SJ0000046,P0071,1,2023-03-03,D013,R05,1520.22,991.6,0
PL00000115,SJ0000046,P0173,1,2023-03-03,D013,R05,1850.62,1130.11,0
PL00000116,SJ0000047,P0144,2,2023-03-06,D035,R06,8233.58,5968.22,0
PL00000117,SJ0000047,P0144,3,2023-03-06,D035,R06,12350.37,8952.33,0
PL00000118,SJ0000047,P0055,3,2023-03-06,D035,R06,6653.85,4906.23,0
PL00000119,SJ0000048,P0082,4,2023-03-07,D004,R04,19964.96,12238.8,0
PL00000120,SJ0000049,P0107,2,2023-03-07,D022,R01,5149.34,3899.98,0
PL00000121,SJ0000049,P0184,1,2023-03-07,D022,R01,1554.13,1203.81,0
PL00000122,SJ0000049,P0080,4,2023-03-07,D022,R01,14647.08,10170.88,0
PL00000123,SJ0000050,P0092,1,2023-03-08,D039,R04,13592.39,8694.68,0
PL00000124,SJ0000050,P0171,1,2023-03-08,D039,R04,1279.15,859.45,0
PL00000125,SJ0000051,P0171,1,2023-03-09,D011,R01,1279.15,859.45,0
PL00000126,SJ0000051,P0095,1,2023-03-09,D011,R01,18505.4,11675.58,0
PL00000127,SJ0000052,P0073,1,2023-03-10,D001,R02,1101.26,786.71,0
PL00000128,SJ0000053,P0071,1,2023-03-10,D039,R04,1520.22,991.6,0
PL00000129,SJ0000053,P0166,1,2023-03-10,D039,R04,3897.82,2442.57,0
PL00000130,SJ0000054,P0156,1,2023-03-13,D028,R03,2115.96,1636.39,0
PL00000131,SJ0000055,P0031,1,2023-03-14,D012,R06,38647.54,23035.03,0
PL00000132,SJ0000055,P0010,1,2023-03-14,D012,R06,1639.38,1214.76,0
PL00000133,SJ0000055,P0031,1,2023-03-14,D012,R06,38647.54,23035.03,0
PL00000134,SJ0000055,P0007,1,2023-03-14,D012,R06,28854.87,22314.67,0
PL00000135,SJ0000056,P0076,1,2023-03-15,D031,R04,4067.27,2530.83,0
PL00000136,SJ0000056,P0185,1,2023-03-15,D031,R04,2584.96,1931.05,0
PL00000137,SJ0000056,P0185,1,2023-03-15,D031,R04,2584.96,1931.05,0
PL00000138,SJ0000057,P0058,1,2023-03-16,D022,R01,1985.79,1478.32,0
PL00000139,SJ0000057,P0125,1,2023-03-16,D022,R01,1108.48,720.58,0
PL00000140,SJ0000057,P0153,1,2023-03-16,D022,R01,1528.29,1009.68,0
PL00000141,SJ0000058,P0156,1,2023-03-17,D040,R03,2115.96,1636.39,0
PL00000142,SJ0000058,P0065,1,2023-03-17,D040,R03,600.22,434.06,0
PL00000143,SJ0000058,P0106,3,2023-03-17,D040,R03,11111.61,6921.24,0
PL00000144,SJ0000059,P0087,1,2023-03-17,D040,R03,3249.91,2071.45,0
PL00000145,SJ0000059,P0044,2,2023-03-17,D040,R03,8098.06,4809.62,0
PL00000146,SJ0000059,P0106,1,2023-03-17,D040,R03,3703.87,2307.08,0
PL00000147,SJ0000060,P0153,1,2023-03-17,D023,R02,1528.29,1009.68,0
PL00000148,SJ0000060,P0125,1,2023-03-17,D023,R02,1108.48,720.58,0
PL00000149,SJ0000060,P0162,2,2023-03-17,D023,R02,2132.08,1552.32,0
PL00000150,SJ0000061,P0044,3,2023-03-18,D027,R02,12147.09,7214.43,0
PL00000151,SJ0000061,P0156,3,2023-03-18,D027,R02,6347.88,4909.17,0
PL00000152,SJ0000062,P0185,1,2023-03-18,D031,R04,2584.96,1931.05,0
PL00000153,SJ0000063,P0184,1,2023-03-18,D039,R04,1554.13,1203.81,0
PL00000154,SJ0000063,P0107,3,2023-03-18,D039,R04,7724.01,5849.97,0
PL00000155,SJ0000063,P0168,3,2023-03-18,D039,R04,15147.66,9507.33,0
PL00000156,SJ0000064,P0105,1,2023-03-21,D007,R01,1106.11,746.01,0
PL00000157,SJ0000064,P0168,1,2023-03-21,D007,R01,5049.22,3169.11,0
PL00000158,SJ0000065,P0099,1,2023-03-21,D029,R04,1122.86,843.68,0
PL00000159,SJ0000066,P0015,1,2023-03-22,D023,R02,1035.19,696.63,0
PL00000160,SJ0000066,P0167,1,2023-03-22,D023,R02,1089.7,747.09,0
PL00000161,SJ0000067,P0071,1,2023-03-22,D032,R01,1520.22,991.6,0
PL00000162,SJ0000067,P0071,1,2023-03-22,D032,R01,1520.22,991.6,0
PL00000163,SJ0000067,P0153,2,2023-03-22,D032,R01,3056.58,2019.36,0
PL00000164,SJ0000068,P0155,1,2023-03-24,D034,R06,1396.53,866.67,0
PL00000165,SJ0000069,P0186,3,2023-03-24,D023,R02,7306.17,4829.76,0
PL00000166,SJ0000069,P0011,2,2023-03-24,D023,R02,2985.18,2040.54,0
PL00000167,SJ0000070,P0036,1,2023-03-24,D003,R05,12074.9,8199.31,0
PL00000168,SJ0000071,P0153,2,2023-03-27,D028,R03,3056.58,2019.36,0
PL00000169,SJ0000071,P0153,1,2023-03-27,D028,R03,1528.29,1009.68,0
PL00000170,SJ0000071,P0181,2,2023-03-27,D028,R03,7233.54,4749.74,0
PL00000171,SJ0000072,P0025,1,2023-03-27,D021,R04,12565.01,8652.96,0
PL00000172,SJ0000072,P0025,1,2023-03-27,D021,R04,12565.01,8652.96,0
PL00000173,SJ0000072,P0185,2,2023-03-27,D021,R04,5169.92,3862.1,0
PL00000174,SJ0000073,P0118,1,2023-03-28,D019,R03,3606.66,2538.14,0
PL00000175,SJ0000074,P0153,1,2023-03-29,D022,R01,1528.29,1009.68,0
PL00000176,SJ0000075,P0105,1,2023-03-31,D010,R04,1106.11,746.01,0
PL00000177,SJ0000075,P0001,1,2023-03-31,D010,R04,3320.07,2128.62,0
PL00000178,SJ0000076,P0026,1,2023-03-31,D023,R02,2035.71,1416.95,0
PL00000179,SJ0000076,P0080,1,2023-03-31,D023,R02,3661.77,2542.72,0
PL00000180,SJ0000076,P0184,2,2023-03-31,D023,R02,3108.26,2407.62,0
PL00000181,SJ0000077,P0087,3,2023-03-31,D024,R02,9749.73,6214.35,0
PL00000182,SJ0000077,P0103,2,2023-03-31,D024,R02,6770.14,5317.18,0
PL00000183,SJ0000077,P0196,1,2023-03-31,D024,R02,587.41,455.66,0
PL00000184,SJ0000078,P0040,1,2023-04-01,D035,R06,9963.49,6499.31,0
PL00000185,SJ0000078,P0102,1,2023-04-01,D035,R06,10941.15,7855.7,0
PL00000186,SJ0000079,P0059,1,2023-04-03,D040,R03,775.36,498.69,0
PL00000187,SJ0000080,P0129,1,2023-04-03,D014,R02,19835.6,12771.76,0
PL00000188,SJ0000080,P0155,1,2023-04-03,D014,R02,1396.53,866.67,0
PL00000189,SJ0000080,P0160,1,2023-04-03,D014,R02,1413.17,858.11,0
PL00000190,SJ0000081,P0063,1,2023-04-05,D011,R01,12553.59,9450.84,0
PL00000191,SJ0000081,P0100,1,2023-04-05,D011,R01,1431.0,900.65,0
PL00000192,SJ0000082,P0021,2,2023-04-05,D039,R04,8108.54,4820.42,0
PL00000193,SJ0000082,P0162,2,2023-04-05,D039,R04,2132.08,1552.32,0
PL00000194,SJ0000082,P0021,1,2023-04-05,D039,R04,4054.27,2410.21,0
PL00000195,SJ0000083,P0067,1,2023-04-06,D006,R01,19877.58,14079.65,0
PL00000196,SJ0000084,P0018,1,2023-04-06,D012,R06,1216.32,744.02,0
PL00000197,SJ0000085,P0128,1,2023-04-06,D012,R06,4728.11,2889.33,0
PL00000198,SJ0000086,P0008,2,2023-04-07,D035,R06,7291.14,5157.58,0
PL00000199,SJ0000086,P0144,1,2023-04-07,D035,R06,4116.79,2984.11,0
PL00000200,SJ0000087,P0186,1,2023-04-07,D031,R04,2435.39,1609.92,0
PL00000201,SJ0000087,P0046,1,2023-04-07,D031,R04,4402.0,3103.78,0
PL00000202,SJ0000087,P0114,1,2023-04-07,D031,R04,4816.13,3073.77,0
PL00000203,SJ0000088,P0022,1,2023-04-07,D031,R04,1421.32,994.67,0
PL00000204,SJ0000088,P0052,2,2023-04-07,D031,R04,6836.78,4386.78,0
PL00000205,SJ0000088,P0023,3,2023-04-07,D031,R04,7781.94,5307.21,0
PL00000206,SJ0000090,P0111,2,2023-04-07,D023,R02,1678.68,1084.2,0
PL00000207,SJ0000090,P0186,1,2023-04-07,D023,R02,2435.39,1609.92,0
PL00000208,SJ0000091,P0162,1,2023-04-07,D021,R04,1066.04,776.16,0
PL00000209,SJ0000092,P0173,1,2023-04-08,D015,R02,1850.62,1130.11,0
PL00000210,SJ0000092,P0021,1,2023-04-08,D015,R02,4054.27,2410.21,0
PL00000211,SJ0000092,P0071,1,2023-04-08,D015,R02,1520.22,991.6,0
PL00000212,SJ0000093,P0116,3,2023-04-09,D005,R01,12514.95,7497.63,0
PL00000213,SJ0000093,P0058,1,2023-04-09,D005,R01,1985.79,1478.32,0
PL00000214,SJ0000094,P0050,3,2023-04-09,D021,R04,7761.21,4843.23,0
PL00000215,SJ0000095,P0107,2,2023-04-10,D018,R03,5149.34,3899.98,0
PL00000216,SJ0000095,P0100,1,2023-04-10,D018,R03,1431.0,900.65,0
PL00000217,SJ0000095,P0184,2,2023-04-10,D018,R03,3108.26,2407.62,0
PL00000218,SJ0000095,P0033,1,2023-04-10,D018,R03,71060.91,55198.62,0
PL00000219,SJ0000095,P0041,1,2023-04-10,D018,R03,67102.43,48713.78,0
PL00000220,SJ0000096,P0080,1,2023-04-11,D011,R01,3661.77,2542.72,0
PL00000221,SJ0000097,P0046,1,2023-04-11,D031,R04,4402.0,3103.78,0
PL00000222,SJ0000097,P0114,1,2023-04-11,D031,R04,4816.13,3073.77,0
PL00000223,SJ0000097,P0046,4,2023-04-11,D031,R04,17608.0,12415.12,0
PL00000224,SJ0000097,P0114,2,2023-04-11,D031,R04,9632.26,6147.54,0
PL00000225,SJ0000097,P0097,1,2023-04-11,D031,R04,3981.41,2379.18,0
PL00000226,SJ0000098,P0058,1,2023-04-11,D026,R05,1985.79,1478.32,0
PL00000227,SJ0000099,P0072,1,2023-04-11,D025,R03,1390.79,894.51,0
PL00000228,SJ0000099,P0077,1,2023-04-11,D025,R03,2646.92,1735.49,0
PL00000229,SJ0000099,P0072,1,2023-04-11,D025,R03,1390.79,894.51,0
PL00000230,SJ0000100,P0058,2,2023-04-11,D007,R01,3971.58,2956.64,0
PL00000231,SJ0000100,P0071,1,2023-04-11,D007,R01,1520.22,991.6,0
PL00000232,SJ0000100,P0133,1,2023-04-11,D007,R01,36930.63,21749.21,0
PL00000233,SJ0000100,P0118,2,2023-04-11,D007,R01,7213.32,5076.28,0
PL00000234,SJ0000100,P0071,1,2023-04-11,D007,R01,1520.22,991.6,0
PL00000235,SJ0000101,P0045,1,2023-04-12,D023,R02,8592.53,6588.75,0
PL00000236,SJ0000101,P0015,1,2023-04-12,D023,R02,1035.19,696.63,0
PL00000237,SJ0000101,P0045,1,2023-04-12,D023,R02,8592.53,6588.75,0
PL00000238,SJ0000102,P0196,2,2023-04-13,D040,R03,1174.82,911.32,0
PL00000239,SJ0000102,P0103,4,2023-04-13,D040,R03,13540.28,10634.36,1
PL00000240,SJ0000103,P0024,1,2023-04-13,D035,R06,93575.89,68518.46,0
PL00000241,SJ0000103,P0049,1,2023-04-13,D035,R06,60940.92,38805.9,0
PL00000242,SJ0000103,P0049,1,2023-04-13,D035,R06,60940.92,38805.9,0
PL00000243,SJ0000104,P0079,1,2023-04-15,D022,R01,18459.11,12436.28,0
PL00000244,SJ0000104,P0015,1,2023-04-15,D022,R01,1035.19,696.63,0
PL00000245,SJ0000104,P0079,1,2023-04-15,D022,R01,18459.11,12436.28,0
PL00000246,SJ0000105,P0026,1,2023-04-15,D005,R01,2035.71,1416.95,0
PL00000247,SJ0000106,P0028,3,2023-04-17,D040,R03,13121.46,8670.54,0
PL00000248,SJ0000106,P0018,1,2023-04-17,D040,R03,1216.32,744.02,0
PL00000249,SJ0000106,P0128,4,2023-04-17,D040,R03,18912.44,11557.32,0
PL00000250,SJ0000107,P0143,1,2023-04-17,D013,R05,617.83,448.91,0
PL00000251,SJ0000107,P0100,1,2023-04-17,D013,R05,1431.0,900.65,0
PL00000252,SJ0000109,P0004,1,2023-04-18,D026,R05,1204.38,890.29,0
PL00000253,SJ0000109,P0081,1,2023-04-18,D026,R05,1023.25,730.37,0
PL00000254,SJ0000110,P0022,1,2023-04-18,D007,R01,1421.32,994.67,0
PL00000255,SJ0000111,P0105,1,2023-04-18,D013,R05,1106.11,746.01,0
PL00000256,SJ0000112,P0106,1,2023-04-19,D031,R04,3703.87,2307.08,0
PL00000257,SJ0000113,P0015,1,2023-04-19,D001,R02,1035.19,696.63,0
PL00000258,SJ0000114,P0100,1,2023-04-19,D003,R05,1431.0,900.65,0
PL00000259,SJ0000114,P0107,1,2023-04-19,D003,R05,2574.67,1949.99,0
PL00000260,SJ0000115,P0069,1,2023-04-19,D028,R03,27304.78,16973.97,0
PL00000261,SJ0000115,P0188,1,2023-04-19,D028,R03,26156.17,15888.92,0
PL00000262,SJ0000115,P0196,1,2023-04-19,D028,R03,587.41,455.66,0
PL00000263,SJ0000115,P0064,1,2023-04-19,D028,R03,12828.13,8679.69,0
PL00000264,SJ0000116,P0102,1,2023-04-19,D033,R01,10941.15,7855.7,0
PL00000265,SJ0000116,P0165,1,2023-04-19,D033,R01,12836.54,9136.15,0
PL00000266,SJ0000117,P0103,1,2023-04-20,D025,R03,3385.07,2658.59,0
PL00000267,SJ0000117,P0044,2,2023-04-20,D025,R03,8098.06,4809.62,0
PL00000268,SJ0000117,P0013,1,2023-04-20,D025,R03,5268.1,3270.88,0
PL00000269,SJ0000118,P0071,2,2023-04-20,D022,R01,3040.44,1983.2,0
PL00000270,SJ0000118,P0181,2,2023-04-20,D022,R01,7233.54,4749.74,1
PL00000271,SJ0000118,P0162,2,2023-04-20,D022,R01,2132.08,1552.32,0
PL00000272,SJ0000119,P0095,1,2023-04-20,D024,R02,18505.4,11675.58,0
PL00000273,SJ0000119,P0147,1,2023-04-20,D024,R02,1509.1,1038.22,0
PL00000274,SJ0000120,P0021,2,2023-04-21,D019,R03,8108.54,4820.42,0
PL00000275,SJ0000120,P0116,3,2023-04-21,D019,R03,12514.95,7497.63,0
PL00000276,SJ0000121,P0075,4,2023-04-21,D001,R02,17264.28,12663.44,0
PL00000277,SJ0000121,P0083,2,2023-04-21,D001,R02,5873.26,4575.86,0
PL00000278,SJ0000121,P0173,2,2023-04-21,D001,R02,3701.24,2260.22,0
PL00000279,SJ0000122,P0147,1,2023-04-21,D006,R01,1509.1,1038.22,0
PL00000280,SJ0000122,P0105,1,2023-04-21,D006,R01,1106.11,746.01,0
PL00000281,SJ0000123,P0160,1,2023-04-22,D009,R04,1413.17,858.11,0
PL00000282,SJ0000123,P0059,1,2023-04-22,D009,R04,775.36,498.69,0
PL00000283,SJ0000124,P0071,2,2023-04-22,D028,R03,3040.44,1983.2,0
PL00000284,SJ0000124,P0153,1,2023-04-22,D028,R03,1528.29,1009.68,0
PL00000285,SJ0000125,P0001,1,2023-04-23,D034,R06,3320.07,2128.62,0
PL00000286,SJ0000125,P0080,1,2023-04-23,D034,R06,3661.77,2542.72,0
PL00000287,SJ0000125,P0041,1,2023-04-23,D034,R06,67102.43,48713.78,0
PL00000288,SJ0000125,P0143,1,2023-04-23,D034,R06,617.83,448.91,0
PL00000289,SJ0000126,P0081,1,2023-04-23,D021,R04,1023.25,730.37,0
PL00000290,SJ0000127,P0162,1,2023-04-23,D018,R03,1066.04,776.16,0
PL00000291,SJ0000127,P0075,3,2023-04-23,D018,R03,12948.21,9497.58,0
PL00000292,SJ0000128,P0043,1,2023-04-24,D025,R03,1219.72,783.55,0
PL00000293,SJ0000128,P0010,1,2023-04-24,D025,R03,1639.38,1214.76,0
PL00000294,SJ0000128,P0182,1,2023-04-24,D025,R03,1489.73,1033.63,0
PL00000295,SJ0000130,P0020,1,2023-04-24,D028,R03,20797.7,16055.8,0
PL00000296,SJ0000130,P0177,1,2023-04-24,D028,R03,29475.77,23408.69,0
PL00000297,SJ0000130,P0177,1,2023-04-24,D028,R03,29475.77,23408.69,0
PL00000298,SJ0000131,P0071,1,2023-04-24,D033,R01,1520.22,991.6,0
PL00000299,SJ0000131,P0058,1,2023-04-24,D033,R01,1985.79,1478.32,0
PL00000300,SJ0000132,P0061,1,2023-04-25,D011,R01,18150.04,10857.71,0
PL00000301,SJ0000132,P0129,1,2023-04-25,D011,R01,19835.6,12771.76,0
PL00000302,SJ0000133,P0026,1,2023-04-25,D018,R03,2035.71,1416.95,0
PL00000303,SJ0000133,P0100,1,2023-04-25,D018,R03,1431.0,900.65,0
PL00000304,SJ0000133,P0080,1,2023-04-25,D018,R03,3661.77,2542.72,0
PL00000305,SJ0000134,P0083,3,2023-04-25,D004,R04,8809.89,6863.79,0
PL00000306,SJ0000134,P0021,2,2023-04-25,D004,R04,8108.54,4820.42,0
PL00000307,SJ0000135,P0022,1,2023-04-26,D013,R05,1421.32,994.67,0
PL00000308,SJ0000136,P0058,2,2023-04-27,D021,R04,3971.58,2956.64,0
PL00000309,SJ0000136,P0021,3,2023-04-27,D021,R04,12162.81,7230.63,0
PL00000310,SJ0000137,P0067,1,2023-04-28,D019,R03,19877.58,14079.65,0
PL00000311,SJ0000137,P0173,1,2023-04-28,D019,R03,1850.62,1130.11,0
PL00000312,SJ0000137,P0125,1,2023-04-28,D019,R03,1108.48,720.58,0
PL00000313,SJ0000138,P0125,1,2023-04-29,D028,R03,1108.48,720.58,0
PL00000314,SJ0000138,P0162,1,2023-04-29,D028,R03,1066.04,776.16,0
PL00000315,SJ0000138,P0071,1,2023-04-29,D028,R03,1520.22,991.6,0
PL00000316,SJ0000139,P0022,2,2023-04-29,D003,R05,2842.64,1989.34,0
PL00000317,SJ0000140,P0172,1,2023-04-29,D026,R05,4142.58,2681.41,0
