feedback_id,service_job_id,customer_id,service_date,csat_score,nps_score,nps_group,complaint_reason,is_stockout_impacted,is_emergency,downtime_days,job_type,resolution_status
FB0000050,SJ0000157,C02131,2023-05-03,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000051,SJ0000159,C00323,2023-05-05,4,8,Passive,Satisfied,0,0,4,Breakdown,Fixed
FB0000052,SJ0000163,C00085,2023-05-07,3,7,Passive,Unexpected breakdown,0,0,3,Breakdown,Fixed
FB0000053,SJ0000172,C01741,2023-05-09,3,7,Passive,Repeat issue,0,0,1,Breakdown,Repeat
FB0000054,SJ0000175,C01809,2023-05-11,3,7,Passive,Repeat issue,0,0,2,Breakdown,Repeat
FB0000055,SJ0000178,C01629,2023-05-12,3,8,Passive,Emergency order,0,1,2,Breakdown,Fixed
FB0000056,SJ0000185,C01741,2023-05-13,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000057,SJ0000186,C01648,2023-05-13,3,8,Passive,Unexpected breakdown,0,0,2,Breakdown,Fixed
FB0000058,SJ0000194,C01935,2023-05-16,3,8,Passive,Unexpected breakdown,0,0,2,Breakdown,Fixed
FB0000059,SJ0000197,C00830,2023-05-18,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000060,SJ0000199,C00039,2023-05-18,3,8,Passive,High downtime,0,0,5,Breakdown,Fixed
FB0000061,SJ0000204,C01907,2023-05-21,3,7,Passive,High downtime,0,0,6,Breakdown,Fixed
FB0000062,SJ0000210,C01683,2023-05-22,3,7,Passive,High downtime,0,0,6,Breakdown,Fixed
FB0000063,SJ0000211,C01218,2023-05-22,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000064,SJ0000213,C02360,2023-05-23,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000065,SJ0000221,C00612,2023-05-25,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000066,SJ0000223,C01383,2023-05-26,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000067,SJ0000226,C00469,2023-05-27,3,7,Passive,Repeat issue,0,0,1,Breakdown,Repeat
FB0000068,SJ0000227,C00002,2023-05-27,3,7,Passive,Unexpected breakdown,0,0,1,Breakdown,Fixed
FB0000069,SJ0000230,C00488,2023-05-28,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000070,SJ0000231,C00882,2023-05-28,4,9,Promoter,Satisfied,0,0,4,Breakdown,Fixed
FB0000071,SJ0000232,C02005,2023-05-28,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000072,SJ0000234,C00243,2023-05-29,3,7,Passive,High downtime,0,0,5,Breakdown,Fixed
FB0000073,SJ0000237,C02090,2023-05-30,5,10,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000074,SJ0000239,C01878,2023-05-31,4,8,Passive,Satisfied,0,0,5,Breakdown,Fixed
FB0000075,SJ0000241,C00026,2023-05-31,4,8,Passive,Satisfied,0,1,3,Breakdown,Fixed
FB0000076,SJ0000248,C01544,2023-06-01,3,7,Passive,Emergency order,0,1,2,Breakdown,Fixed
FB0000077,SJ0000250,C01473,2023-06-01,3,7,Passive,High downtime,0,1,6,Breakdown,Fixed
FB0000078,SJ0000254,C00215,2023-06-02,3,7,Passive,Repeat issue,0,0,3,Breakdown,Repeat
FB0000079,SJ0000255,C02334,2023-06-02,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000080,SJ0000263,C01520,2023-06-05,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000081,SJ0000267,C01937,2023-06-09,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000082,SJ0000269,C00679,2023-06-09,2,5,Detractor,High downtime,0,0,8,Breakdown,Repeat
FB0000083,SJ0000276,C02160,2023-06-10,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000084,SJ0000278,C01648,2023-06-11,2,5,Detractor,High downtime,0,0,8,Breakdown,Repeat
FB0000085,SJ0000280,C01648,2023-06-12,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000086,SJ0000296,C00684,2023-06-17,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000087,SJ0000297,C02148,2023-06-17,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000088,SJ0000309,C01648,2023-06-20,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000089,SJ0000314,C02215,2023-06-22,3,7,Passive,High downtime,0,0,6,Breakdown,Fixed
FB0000090,SJ0000324,C02114,2023-06-25,4,8,Passive,Satisfied,0,0,1,Breakdown,Fixed
FB0000091,SJ0000326,C00668,2023-06-26,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000092,SJ0000329,C02268,2023-06-26,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000093,SJ0000333,C02198,2023-06-27,4,8,Passive,Satisfied,0,0,5,Breakdown,Fixed
FB0000094,SJ0000334,C01563,2023-06-28,5,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000095,SJ0000342,C01298,2023-06-30,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000096,SJ0000346,C00425,2023-07-01,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000097,SJ0000347,C00541,2023-07-01,4,8,Passive,Satisfied,0,1,1,Breakdown,Fixed
FB0000098,SJ0000351,C00312,2023-07-02,3,7,Passive,High downtime,0,0,6,Breakdown,Fixed
FB0000099,SJ0000355,C00877,2023-07-03,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000100,SJ0000369,C00243,2023-07-07,2,6,Detractor,Repeat issue,0,0,4,Breakdown,Repeat
FB0000101,SJ0000373,C02132,2023-07-08,4,8,Passive,Satisfied,0,0,1,Breakdown,Fixed
FB0000102,SJ0000384,C02007,2023-07-10,5,10,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000103,SJ0000385,C01407,2023-07-10,5,10,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000104,SJ0000387,C01809,2023-07-10,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000105,SJ0000390,C01005,2023-07-10,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000106,SJ0000394,C01933,2023-07-11,3,7,Passive,High downtime,0,0,5,Breakdown,Fixed
FB0000107,SJ0000396,C00917,2023-07-11,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000108,SJ0000397,C00796,2023-07-11,3,8,Passive,Emergency order,0,1,1,Breakdown,Fixed
FB0000109,SJ0000398,C00776,2023-07-11,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000110,SJ0000402,C01668,2023-07-12,3,6,Detractor,Repeat issue,0,0,3,Breakdown,Repeat
FB0000111,SJ0000407,C00640,2023-07-13,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000112,SJ0000411,C01171,2023-07-13,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000113,SJ0000415,C01878,2023-07-15,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000114,SJ0000419,C00094,2023-07-15,2,6,Detractor,Repeat issue,0,0,4,Breakdown,Repeat
FB0000115,SJ0000420,C00684,2023-07-15,3,7,Passive,High downtime,0,0,6,Breakdown,Fixed
FB0000116,SJ0000430,C00752,2023-07-17,3,7,Passive,Repeat issue,0,0,1,Breakdown,Repeat
FB0000117,SJ0000439,C00675,2023-07-19,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000118,SJ0000440,C02160,2023-07-19,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000119,SJ0000443,C01907,2023-07-20,3,7,Passive,High downtime,0,0,5,Breakdown,Fixed
FB0000120,SJ0000447,C01586,2023-07-20,3,8,Passive,Unexpected breakdown,0,0,3,Breakdown,Fixed
FB0000121,SJ0000449,C00799,2023-07-21,3,6,Detractor,Repeat issue,0,0,1,Breakdown,Repeat
FB0000122,SJ0000451,C02032,2023-07-21,3,8,Passive,High downtime,0,0,5,Breakdown,Fixed
FB0000123,SJ0000452,C02181,2023-07-21,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000124,SJ0000453,C01507,2023-07-22,3,7,Passive,Unexpected breakdown,0,0,4,Breakdown,Fixed
FB0000125,SJ0000456,C00953,2023-07-22,2,6,Detractor,Repeat issue,0,0,4,Breakdown,Repeat
FB0000126,SJ0000461,C02495,2023-07-23,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000127,SJ0000470,C02411,2023-07-25,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000128,SJ0000471,C02411,2023-07-25,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000129,SJ0000472,C00010,2023-07-25,4,8,Passive,Satisfied,0,1,1,Breakdown,Fixed
FB0000130,SJ0000473,C01855,2023-07-25,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000131,SJ0000476,C01017,2023-07-26,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000132,SJ0000478,C00042,2023-07-26,4,9,Promoter,Satisfied,0,1,1,Breakdown,Fixed
FB0000133,SJ0000488,C00118,2023-07-28,2,6,Detractor,Repeat issue,0,0,4,Breakdown,Repeat
FB0000134,SJ0000490,C00675,2023-07-29,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000135,SJ0000491,C00236,2023-07-29,4,8,Passive,Satisfied,0,0,1,Breakdown,Fixed
FB0000136,SJ0000492,C01265,2023-07-29,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000137,SJ0000495,C00823,2023-07-30,4,9,Promoter,Satisfied,0,0,2,Breakdown,Fixed
FB0000138,SJ0000499,C00173,2023-07-31,5,10,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000139,SJ0000500,C02198,2023-07-31,4,9,Promoter,Satisfied,0,0,3,Breakdown,Fixed
FB0000140,SJ0000509,C00876,2023-08-01,4,9,Promoter,Satisfied,0,0,2,Breakdown,Fixed
FB0000141,SJ0000511,C01158,2023-08-01,4,9,Promoter,Satisfied,0,0,4,Breakdown,Fixed
FB0000142,SJ0000513,C01855,2023-08-02,3,7,Passive,Repeat issue,0,0,1,Breakdown,Repeat
FB0000143,SJ0000516,C02040,2023-08-02,2,6,Detractor,Repeat issue,0,0,4,Breakdown,Repeat
FB0000144,SJ0000517,C02360,2023-08-03,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000145,SJ0000519,C00507,2023-08-03,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000146,SJ0000520,C01946,2023-08-03,2,6,Detractor,Repeat issue,0,0,2,Breakdown,Repeat
FB0000147,SJ0000522,C01822,2023-08-04,4,9,Promoter,Satisfied,0,0,2,Breakdown,Fixed
FB0000148,SJ0000535,C02349,2023-08-07,4,9,Promoter,Satisfied,0,0,4,Breakdown,Fixed
FB0000149,SJ0000554,C00759,2023-08-11,3,7,Passive,Unexpected breakdown,0,0,3,Breakdown,Fixed
FB0000150,SJ0000564,C01974,2023-08-13,3,8,Passive,Emergency order,0,1,3,Breakdown,Fixed
FB0000151,SJ0000565,C00467,2023-08-13,2,6,Detractor,High downtime,0,1,5,Breakdown,Fixed
FB0000152,SJ0000566,C00982,2023-08-13,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000153,SJ0000568,C02050,2023-08-13,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000154,SJ0000574,C01448,2023-08-15,4,8,Passive,Satisfied,0,0,4,Breakdown,Fixed
FB0000155,SJ0000579,C02030,2023-08-16,3,8,Passive,High downtime,0,0,5,Breakdown,Fixed
FB0000156,SJ0000583,C01652,2023-08-16,5,10,Promoter,Satisfied,0,0,2,Preventive,Fixed
FB0000157,SJ0000585,C00213,2023-08-16,3,8,Passive,Unexpected breakdown,0,0,4,Breakdown,Fixed
FB0000158,SJ0000586,C00085,2023-08-17,3,7,Passive,Unexpected breakdown,0,0,2,Breakdown,Fixed
FB0000159,SJ0000587,C00865,2023-08-17,3,8,Passive,Repeat issue,0,0,1,Breakdown,Repeat
FB0000160,SJ0000596,C00370,2023-08-19,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000161,SJ0000597,C00488,2023-08-20,4,8,Passive,Satisfied,0,1,2,Breakdown,Fixed
FB0000162,SJ0000598,C02400,2023-08-20,4,8,Passive,Satisfied,0,0,1,Breakdown,Fixed
FB0000163,SJ0000600,C01109,2023-08-20,4,8,Passive,Satisfied,0,0,6,Breakdown,Fixed
FB0000164,SJ0000603,C01642,2023-08-21,3,7,Passive,Unexpected breakdown,0,0,4,Breakdown,Fixed
FB0000165,SJ0000605,C01475,2023-08-21,4,9,Promoter,Satisfied,0,0,3,Breakdown,Fixed
FB0000166,SJ0000606,C00688,2023-08-21,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000167,SJ0000607,C00042,2023-08-21,3,8,Passive,Unexpected breakdown,0,0,4,Breakdown,Fixed
FB0000168,SJ0000608,C01097,2023-08-21,3,7,Passive,Emergency order,0,1,4,Breakdown,Fixed
FB0000169,SJ0000609,C02222,2023-08-21,3,7,Passive,Repeat issue,0,0,4,Breakdown,Repeat
FB0000170,SJ0000616,C00236,2023-08-23,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000171,SJ0000618,C00342,2023-08-23,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000172,SJ0000624,C00704,2023-08-24,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000173,SJ0000626,C01101,2023-08-24,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000174,SJ0000627,C00033,2023-08-25,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000175,SJ0000628,C00351,2023-08-25,3,7,Passive,Unexpected breakdown,0,0,3,Breakdown,Fixed
FB0000176,SJ0000633,C02349,2023-08-25,4,8,Passive,Satisfied,0,1,1,Breakdown,Fixed
FB0000177,SJ0000635,C02287,2023-08-25,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000178,SJ0000637,C01723,2023-08-26,4,8,Passive,Satisfied,0,0,4,Breakdown,Fixed
FB0000179,SJ0000642,C00866,2023-08-27,3,8,Passive,Unexpected breakdown,0,0,4,Breakdown,Fixed
FB0000180,SJ0000644,C02325,2023-08-28,3,7,Passive,Emergency order,0,1,3,Breakdown,Fixed
FB0000181,SJ0000645,C01734,2023-08-28,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000182,SJ0000652,C00508,2023-08-28,4,9,Promoter,Satisfied,0,0,2,Breakdown,Fixed
FB0000183,SJ0000655,C00059,2023-08-29,3,7,Passive,High downtime,0,0,5,Breakdown,Fixed
FB0000184,SJ0000656,C00917,2023-08-29,3,7,Passive,High downtime,0,0,6,Breakdown,Fixed
FB0000185,SJ0000662,C00802,2023-08-30,4,9,Promoter,Satisfied,0,0,2,Breakdown,Fixed
FB0000186,SJ0000665,C00351,2023-08-31,4,9,Promoter,Satisfied,0,0,2,Breakdown,Fixed
FB0000187,SJ0000666,C01081,2023-08-31,5,10,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000188,SJ0000673,C02311,2023-09-01,3,6,Detractor,High downtime,0,1,7,Breakdown,Fixed
FB0000189,SJ0000674,C00286,2023-09-01,4,9,Promoter,Satisfied,0,0,3,Breakdown,Fixed
FB0000190,SJ0000682,C01878,2023-09-03,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000191,SJ0000688,C01343,2023-09-04,4,8,Passive,Satisfied,0,0,1,Breakdown,Fixed
FB0000192,SJ0000690,C02400,2023-09-04,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000193,SJ0000693,C00097,2023-09-04,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000194,SJ0000695,C01388,2023-09-05,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000195,SJ0000700,C01212,2023-09-05,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000196,SJ0000704,C01065,2023-09-06,3,7,Passive,High downtime,0,0,6,Breakdown,Fixed
FB0000197,SJ0000709,C00917,2023-09-08,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000198,SJ0000710,C01088,2023-09-08,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000199,SJ0000719,C00401,2023-09-09,4,8,Passive,Satisfied,0,0,4,Breakdown,Fixed
FB0000200,SJ0000722,C02049,2023-09-10,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000201,SJ0000729,C00215,2023-09-11,4,9,Promoter,Satisfied,0,0,3,Breakdown,Fixed
FB0000202,SJ0000731,C01487,2023-09-11,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000203,SJ0000735,C01158,2023-09-11,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000204,SJ0000737,C01874,2023-09-12,3,8,Passive,Emergency order,0,1,1,Breakdown,Fixed
FB0000205,SJ0000740,C00434,2023-09-12,4,9,Promoter,Satisfied,0,0,6,Breakdown,Fixed
FB0000206,SJ0000741,C00684,2023-09-12,3,7,Passive,High downtime,0,0,6,Breakdown,Fixed
FB0000207,SJ0000748,C00982,2023-09-13,3,8,Passive,Unexpected breakdown,0,0,4,Breakdown,Fixed
FB0000208,SJ0000750,C00732,2023-09-13,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000209,SJ0000753,C00877,2023-09-14,5,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000210,SJ0000765,C00488,2023-09-15,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000211,SJ0000767,C00602,2023-09-15,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000212,SJ0000770,C02198,2023-09-15,3,8,Passive,Unexpected breakdown,0,0,2,Breakdown,Fixed
FB0000213,SJ0000772,C01175,2023-09-15,3,6,Detractor,Repeat issue,0,0,1,Breakdown,Repeat
FB0000214,SJ0000777,C00796,2023-09-16,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000215,SJ0000780,C01056,2023-09-16,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000216,SJ0000782,C02103,2023-09-16,3,7,Passive,Repeat issue,0,0,2,Breakdown,Repeat
FB0000217,SJ0000784,C00796,2023-09-17,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000218,SJ0000786,C01418,2023-09-17,3,7,Passive,Emergency order,0,1,3,Breakdown,Fixed
FB0000219,SJ0000787,C00528,2023-09-17,4,8,Passive,Satisfied,0,1,1,Breakdown,Fixed
FB0000220,SJ0000808,C00791,2023-09-21,5,10,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000221,SJ0000809,C02297,2023-09-21,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000222,SJ0000810,C00093,2023-09-21,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000223,SJ0000811,C00717,2023-09-21,4,8,Passive,Satisfied,0,0,4,Breakdown,Fixed
FB0000224,SJ0000813,C01905,2023-09-21,3,6,Detractor,High downtime,0,1,6,Breakdown,Fixed
FB0000225,SJ0000814,C02478,2023-09-21,4,8,Passive,Satisfied,0,0,5,Breakdown,Fixed
FB0000226,SJ0000816,C01780,2023-09-22,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000227,SJ0000817,C02132,2023-09-22,4,8,Passive,Satisfied,0,0,4,Breakdown,Fixed
FB0000228,SJ0000818,C01092,2023-09-22,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000229,SJ0000819,C01475,2023-09-22,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000230,SJ0000829,C00236,2023-09-24,3,7,Passive,Unexpected breakdown,0,0,4,Breakdown,Fixed
FB0000231,SJ0000831,C02160,2023-09-24,3,7,Passive,High downtime,0,0,5,Breakdown,Fixed
FB0000232,SJ0000833,C00155,2023-09-24,4,9,Promoter,Satisfied,0,0,3,Breakdown,Fixed
FB0000233,SJ0000837,C00384,2023-09-25,4,9,Promoter,Satisfied,0,0,2,Breakdown,Fixed
FB0000234,SJ0000839,C01845,2023-09-25,3,7,Passive,Unexpected breakdown,0,0,4,Breakdown,Fixed
FB0000235,SJ0000846,C00237,2023-09-26,3,6,Detractor,Repeat issue,0,0,2,Breakdown,Repeat
FB0000236,SJ0000847,C00473,2023-09-26,3,6,Detractor,Unexpected breakdown,0,0,3,Breakdown,Fixed
FB0000237,SJ0000848,C00973,2023-09-27,4,8,Passive,Satisfied,0,0,1,Breakdown,Fixed
FB0000238,SJ0000854,C00802,2023-09-27,3,7,Passive,Repeat issue,0,0,1,Breakdown,Repeat
FB0000239,SJ0000855,C01065,2023-09-27,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000240,SJ0000859,C00759,2023-09-28,4,9,Promoter,Satisfied,0,0,5,Breakdown,Fixed
FB0000241,SJ0000863,C02476,2023-09-28,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000242,SJ0000872,C01277,2023-09-28,4,9,Promoter,Satisfied,0,0,3,Breakdown,Fixed
FB0000243,SJ0000873,C01450,2023-09-29,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000244,SJ0000875,C02207,2023-09-29,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000245,SJ0000876,C01346,2023-09-29,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000246,SJ0000879,C00111,2023-09-29,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000247,SJ0000887,C00372,2023-09-30,3,7,Passive,Emergency order,0,1,2,Breakdown,Fixed
FB0000248,SJ0000889,C00971,2023-10-01,5,10,Promoter,Satisfied,0,0,2,Breakdown,Fixed
