customer_id,customer_name,customer_type,region_id,size_band
C00091,"Saraf, Pai and Murthy",Contractor,R04,Small
C00092,Vaidya-D’Alia,Fleet,R03,Medium
C00093,Gupta-Kumar,Contractor,R04,Small
C00094,Sarin Inc,Fleet,R02,Small
C00095,"Yohannan, Hegde and Patla",Contractor,R05,Small
C00096,Boase-Narayanan,Fleet,R02,Medium
C00097,"Murthy, Dash and Mital",Contractor,R02,Medium
C00098,"More, Rege and Narain",Contractor,R01,Small
C00099,Merchant-Datta,Rental,R01,Small
C00100,Salvi Ltd,Fleet,R03,Large
C00101,Ghosh-Mitra,Fleet,R02,Small
C00102,Acharya-Modi,Fleet,R05,Medium
C00103,Kade-Sani,Rental,R01,Small
C00104,"Nagy, Shroff and Sathe",Rental,R02,Large
C00105,Kala-Vaidya,Fleet,R02,Medium
C00106,Gara-Chad,Contractor,R01,Large
C00107,Varma-Nayak,Government,R01,Medium
C00108,Keer Ltd,Contractor,R03,Small
C00109,Kar-Issac,Contractor,R03,Large
C00110,Bakshi Inc,Fleet,R03,Small
C00111,Soman PLC,Fleet,R03,Small
C00112,Shah Group,Rental,R04,Medium
C00113,"Hayer, Rajagopalan and Talwar",Rental,R01,Medium
C00114,Kohli-Divan,Contractor,R03,Large
C00115,"Ahluwalia, Chhabra and Sandal",Fleet,R06,Small
C00116,Goda Ltd,Fleet,R03,Medium
C00117,"Shetty, Bedi and Krish",Contractor,R04,Medium
C00118,Shan and Sons,Rental,R02,Small
C00119,Wali-Nadig,Rental,R05,Small
C00120,Thaman-Sandhu,Government,R05,Small
C00121,"Sehgal, Dutt and Soman",Contractor,R03,Small
C00122,Lad-Kota,Fleet,R06,Large
C00123,"Malhotra, Verma and Sundaram",Fleet,R01,Medium
C00124,"Khare, Maharaj and Sarraf",Rental,R01,Medium
C00125,Mangal and Sons,Contractor,R05,Large
C00126,Nayak-Nagarajan,Fleet,R05,Small
C00127,"Buch, Devi and Dora",Fleet,R01,Medium
C00128,Rajagopal Ltd,Contractor,R02,Small
C00129,Kala Inc,Fleet,R01,Medium
C00130,Reddy-Narayanan,Fleet,R02,Small
C00131,"Shukla, Sagar and Bhatia",Contractor,R05,Large
C00132,Salvi Group,Contractor,R03,Small
C00133,"Bahri, Rai and Sood",Contractor,R02,Small
C00134,Pandey LLC,Fleet,R02,Medium
C00135,Saini-Yohannan,Contractor,R01,Small
C00136,"Kannan, Sura and Kanda",Fleet,R02,Medium
C00137,Sarin-Sunder,Fleet,R04,Small
C00138,Ramachandran LLC,Contractor,R06,Medium
C00139,"Ravel, Gandhi and Sibal",Contractor,R05,Small
C00140,Walla Inc,Government,R01,Small
C00141,Bala-Chacko,Contractor,R05,Small
C00142,"Sangha, Deshmukh and Shenoy",Contractor,R05,Small
C00143,Bedi LLC,Fleet,R05,Small
C00144,Narang-Kakar,Contractor,R03,Small
C00145,Narain-Nazareth,Fleet,R03,Small
C00146,Mall-Sama,Fleet,R02,Small
C00147,Bumb-Singhal,Rental,R01,Medium
C00148,Zacharia Inc,Contractor,R02,Medium
C00149,Kapur-Biswas,Rental,R02,Small
C00150,"Baria, Balasubramanian and Kota",Contractor,R03,Medium
C00151,Bahri PLC,Government,R05,Medium
C00152,Khare and Sons,Contractor,R03,Small
C00153,Contractor-Kamdar,Contractor,R01,Medium
C00154,Kunda-Pillay,Contractor,R06,Small
C00155,Contractor and Sons,Fleet,R06,Small
C00156,Chokshi-Bal,Contractor,R05,Small
C00157,Prashad-Ranganathan,Fleet,R06,Medium
C00158,"Issac, Borra and Kibe",Fleet,R03,Medium
C00159,Mitra Ltd,Contractor,R06,Small
C00160,"Dara, Barman and Palan",Fleet,R01,Small
C00161,"Sangha, Prabhakar and Biswas",Rental,R02,Large
C00162,"Om, Arora and Salvi",Rental,R02,Small
C00163,Cherian-Sant,Rental,R02,Small
C00164,Sharaf-Dua,Contractor,R01,Large
C00165,Goda-Vig,Fleet,R04,Medium
C00166,"Madan, Yohannan and Sule",Rental,R05,Medium
C00167,Sarin-Loyal,Contractor,R04,Medium
C00168,Korpal-Chadha,Rental,R01,Medium
C00169,Seshadri-Kohli,Rental,R05,Small
C00170,Raghavan-Nayar,Rental,R04,Small
C00171,Talwar LLC,Fleet,R03,Small
C00172,Sura and Sons,Contractor,R04,Large
C00173,Kuruvilla-Oak,Rental,R02,Medium
C00174,Majumdar-Anne,Fleet,R02,Small
C00175,"Halder, Chada and Khurana",Fleet,R06,Medium
C00176,"Ray, Suresh and Khosla",Contractor,R02,Small
C00177,"Soni, Swaminathan and Sem",Rental,R03,Small
C00178,Chander LLC,Contractor,R05,Small
C00179,Ravel Ltd,Contractor,R04,Small
C00180,Mohan Ltd,Fleet,R01,Medium
C00181,"Pillay, Solanki and Wali",Contractor,R01,Small
C00182,Sandal-Narayanan,Rental,R01,Medium
C00183,Setty-Madan,Fleet,R04,Medium
C00184,Krishnamurthy-Kashyap,Contractor,R03,Small
C00185,Hans LLC,Rental,R01,Large
C00186,Wason Ltd,Contractor,R06,Small
C00187,Handa and Sons,Contractor,R03,Small
C00188,"Sule, Malhotra and Vohra",Contractor,R02,Small
C00189,"Mandal, Chaudhry and Hari",Contractor,R03,Medium
C00190,Karan-Patel,Fleet,R04,Small
C00191,Mittal Inc,Government,R01,Small
C00192,"Walla, Date and Mahal",Government,R02,Small
C00193,Bhagat PLC,Rental,R05,Small
C00194,Date-Swaminathan,Rental,R03,Medium
C00195,Arora PLC,Contractor,R03,Small
C00196,Singh-Srinivas,Contractor,R03,Small
C00197,Oak-Gour,Government,R01,Small
C00198,Krishnan Group,Contractor,R01,Small
C00199,Bhattacharyya Group,Contractor,R03,Large
C00200,Borah-Bera,Government,R02,Small
C00201,Dixit PLC,Rental,R01,Large
C00202,Chada-Kothari,Fleet,R05,Small
C00203,Saha PLC,Contractor,R06,Small
C00204,"Kara, Virk and Rai",Fleet,R05,Medium
C00205,Savant-Mishra,Contractor,R05,Small
C00206,"Sanghvi, Mody and Bhasin",Fleet,R02,Medium
C00207,"Chaudhary, Johal and Kakar",Contractor,R06,Large
C00208,Bumb-Dugar,Contractor,R02,Small
C00209,Ghose PLC,Fleet,R06,Small
C00210,Dugar Inc,Contractor,R06,Medium
C00211,Seshadri-Singhal,Fleet,R04,Small
C00212,Bali-Kata,Fleet,R06,Small
C00213,Mandal-Setty,Government,R04,Small
C00214,Kaur LLC,Contractor,R02,Small
C00215,"Hora, Sandal and Contractor",Fleet,R03,Medium
C00216,"Kar, Dixit and Lata",Contractor,R04,Small
C00217,Bora Inc,Government,R01,Small
C00218,Mohanty PLC,Fleet,R04,Medium
C00219,"Mani, Sarna and Dash",Contractor,R06,Small
C00220,Modi-Rau,Fleet,R02,Small
C00221,Tella-Zacharia,Fleet,R05,Medium
C00222,Sarma-Buch,Contractor,R06,Small
C00223,"Baral, Sankaran and Naidu",Contractor,R06,Medium
C00224,"Krishna, Bal and Chand",Contractor,R06,Medium
C00225,Bail Ltd,Contractor,R03,Small
C00226,Baria-Gill,Rental,R06,Small
C00227,Venkataraman-Sathe,Contractor,R05,Small
C00228,Golla-Sarin,Fleet,R01,Small
C00229,"Swamy, Chand and Singhal",Government,R03,Medium
C00230,Rege-Nath,Fleet,R04,Medium
C00231,Cheema-Dyal,Contractor,R02,Small
C00232,Sabharwal-Tandon,Fleet,R04,Medium
C00233,Rattan-Bansal,Fleet,R04,Large
C00234,Chakrabarti-Murty,Rental,R01,Large
C00235,Naik-D’Alia,Government,R04,Small
C00236,Varkey-Agarwal,Contractor,R05,Small
C00237,"Shere, Sachdev and Bhagat",Contractor,R03,Small
C00238,Vasa LLC,Fleet,R01,Large
C00239,"Tara, Sathe and Behl",Fleet,R01,Small
C00240,Loke PLC,Fleet,R02,Medium
C00241,Mani Group,Contractor,R06,Small
C00242,"Sundaram, Dara and Balakrishnan",Contractor,R02,Small
C00243,"Khatri, Dutt and Mukhopadhyay",Contractor,R04,Small
C00244,"Atwal, Reddy and Chander",Fleet,R02,Large
C00245,Comar Group,Rental,R02,Small
C00246,Dube Group,Contractor,R05,Medium
C00247,"Manne, Upadhyay and Mahajan",Contractor,R05,Small
C00248,Subramanian-Sodhi,Contractor,R01,Small
C00249,Shan PLC,Contractor,R03,Small
C00250,Rajagopal and Sons,Fleet,R01,Small
C00251,"Trivedi, Deshpande and Boase",Contractor,R03,Small
C00252,Sachdeva-Oak,Government,R04,Small
C00253,"Loke, Agate and Mandal",Fleet,R01,Small
C00254,"Misra, Suri and Dixit",Fleet,R02,Small
C00255,Yohannan-Sule,Fleet,R03,Large
C00256,Natarajan-Purohit,Fleet,R06,Large
C00257,Nagy-Gulati,Rental,R06,Small
C00258,"Khare, Rajagopal and Kaur",Contractor,R01,Medium
C00259,Bassi-Nadkarni,Contractor,R05,Large
C00260,"Solanki, Raj and Raju",Fleet,R02,Small
C00261,"Doshi, Tandon and Bansal",Contractor,R03,Medium
C00262,Thakkar PLC,Contractor,R05,Large
C00263,Chaudhry-Sarraf,Fleet,R06,Small
C00264,Vora Group,Contractor,R06,Small
C00265,Dhawan Group,Contractor,R04,Large
C00266,"Dubey, Borde and Singh",Contractor,R02,Small
C00267,Nigam-Rao,Contractor,R05,Small
C00268,"Buch, Narasimhan and Walla",Fleet,R02,Small
C00269,Nadig-Sura,Contractor,R04,Small
C00270,"Banik, Biswas and Keer",Contractor,R02,Medium
C00271,"Mani, Karan and Chana",Contractor,R04,Medium
C00272,Chaudhari-Chaudhry,Rental,R02,Large
C00273,Ganesan-Mistry,Contractor,R02,Small
C00274,Batra LLC,Fleet,R06,Small
C00275,Memon LLC,Fleet,R01,Small
C00276,Sankar-Dhingra,Contractor,R03,Small
C00277,Wali Group,Fleet,R02,Small
C00278,"Gole, Garde and Gill",Contractor,R01,Large
C00279,Raja PLC,Rental,R01,Medium
C00280,"Khosla, Tank and Dhar",Contractor,R01,Small
C00281,Shenoy Ltd,Contractor,R05,Medium
C00282,Sharaf-Kumer,Contractor,R02,Small
C00283,"Andra, Shroff and Mani",Contractor,R06,Small
C00284,"Dugar, Borah and Sathe",Contractor,R04,Medium
C00285,Mistry-Samra,Rental,R03,Small
C00286,"Krishna, Shan and Mittal",Contractor,R04,Large
C00287,Rajagopalan Group,Rental,R03,Medium
C00288,Khalsa Group,Rental,R05,Small
C00289,"Parmer, Merchant and Merchant",Fleet,R02,Medium
C00290,Randhawa LLC,Fleet,R02,Small
C00291,Bawa PLC,Fleet,R05,Small
C00292,"Taneja, Mangat and Karpe",Fleet,R06,Small
C00293,"Pandey, Kanda and Gupta",Fleet,R05,Small
C00294,"Krishna, Devan and Chatterjee",Contractor,R03,Medium
C00295,"Baral, More and Sastry",Fleet,R05,Small
C00296,Patla Ltd,Fleet,R03,Medium
C00297,Chana LLC,Government,R03,Medium
C00298,Sagar-Gill,Fleet,R02,Small
C00299,Deo PLC,Government,R04,Medium
C00300,Wali-Thaker,Fleet,R02,Small
C00301,Gala-Kurian,Fleet,R02,Small
C00302,Merchant-Nigam,Contractor,R05,Small
C00303,Sidhu Inc,Contractor,R02,Small
C00304,Kara Ltd,Rental,R01,Small
C00305,"Ranganathan, Pau and Chana",Contractor,R01,Medium
C00306,Atwal-Lalla,Government,R06,Small
C00307,"Dasgupta, Sha and Pillay",Fleet,R03,Small
C00308,"Lala, Raj and Prabhu",Fleet,R03,Large
C00309,Kaur Group,Government,R05,Medium
C00310,Narang PLC,Government,R05,Medium
C00311,Bhatnagar Ltd,Rental,R02,Small
C00312,Mittal-Rege,Contractor,R04,Medium
C00313,Dey Inc,Contractor,R05,Medium
C00314,Modi Group,Government,R04,Medium
C00315,Chatterjee and Sons,Fleet,R01,Medium
C00316,"Deshmukh, Rama and Setty",Rental,R05,Small
C00317,Zachariah-Saini,Rental,R03,Small
C00318,"Dubey, Sachdeva and Chaudhary",Contractor,R02,Small
C00319,Reddy-Mammen,Government,R03,Small
C00320,Prabhakar and Sons,Government,R01,Medium
C00321,Saxena-Keer,Fleet,R01,Small
C00322,Chaudhary-Pillai,Rental,R05,Large
C00323,"Parmer, Bhat and Rao",Contractor,R01,Large
C00324,Gupta-Das,Government,R03,Small
C00325,Chand-Kala,Fleet,R03,Small
C00326,"Bail, Bedi and Nath",Rental,R01,Medium
C00327,Dass PLC,Contractor,R06,Large
C00328,Biswas PLC,Fleet,R02,Small
C00329,Kalita and Sons,Rental,R02,Small
C00330,Divan-Agate,Fleet,R02,Small
C00331,Dhillon-De,Fleet,R02,Medium
C00332,"Krishna, Ghosh and Choudhary",Rental,R01,Small
C00333,"Bal, Deep and Aurora",Rental,R05,Medium
C00334,Khanna-Naik,Contractor,R06,Small
C00335,Ghosh LLC,Contractor,R02,Small
C00336,Date Ltd,Contractor,R04,Small
C00337,Vora-Comar,Fleet,R05,Small
C00338,"Bhatt, Soni and Sen",Fleet,R05,Small
C00339,Varghese-Chopra,Contractor,R03,Small
C00340,Thakur-Kant,Government,R02,Small
C00341,"Bassi, Verma and Mitra",Government,R02,Small
C00342,Balasubramanian-Bhat,Government,R04,Small
C00343,Ratti-Sandhu,Fleet,R05,Large
C00344,"Chokshi, Swaminathan and Sawhney",Contractor,R02,Small
C00345,Buch LLC,Fleet,R02,Small
C00346,"Divan, Bhatti and Date",Contractor,R06,Medium
C00347,Nair-Raj,Contractor,R05,Large
C00348,"Wali, Menon and Setty",Rental,R06,Small
C00349,"Sani, Chaudhary and Contractor",Contractor,R05,Medium
C00350,"Kale, Sani and Seth",Fleet,R03,Medium
C00351,Sachdev LLC,Fleet,R04,Medium
C00352,Rastogi-Sagar,Government,R04,Small
C00353,"Chandran, Munshi and Sane",Contractor,R01,Medium
C00354,Kumer-Prasad,Fleet,R03,Small
C00355,Som Inc,Fleet,R04,Medium
C00356,Chada Inc,Contractor,R01,Medium
C00357,Char-Pradhan,Fleet,R05,Small
C00358,Bhasin PLC,Government,R04,Medium
C00359,"Narayan, Das and Roy",Contractor,R06,Small
C00360,Sampath-Behl,Fleet,R01,Medium
C00361,Muni-Pandey,Fleet,R02,Small
C00362,Tripathi and Sons,Rental,R04,Small
C00363,Subramaniam and Sons,Contractor,R02,Small
C00364,Palla PLC,Contractor,R04,Large
C00365,Contractor-Mallick,Government,R05,Small
C00366,"Kara, Sanghvi and Bal",Rental,R01,Small
C00367,"Loke, Balakrishnan and Gole",Rental,R03,Small
C00368,More-Nori,Government,R03,Medium
C00369,Ahuja-Golla,Contractor,R02,Small
C00370,Rattan Inc,Fleet,R06,Small
C00371,Balasubramanian Inc,Government,R05,Small
C00372,"Wali, Kale and Puri",Contractor,R04,Small
C00373,Setty-Om,Contractor,R04,Small
C00374,Pingle LLC,Rental,R03,Small
C00375,"Nair, Chad and Ben",Fleet,R06,Medium
C00376,Dugar PLC,Contractor,R04,Small
C00377,Bumb LLC,Fleet,R05,Small
C00378,Samra-Sunder,Contractor,R05,Small
C00379,"Sathe, Sachdeva and Mahajan",Fleet,R02,Large
C00380,Vala Inc,Fleet,R05,Large
C00381,Sani-Choudhry,Fleet,R02,Medium
C00382,Sur-Vyas,Contractor,R02,Small
C00383,"Morar, Bath and Kannan",Contractor,R02,Small
C00384,Bhakta-Amble,Contractor,R06,Small
C00385,Mitra and Sons,Rental,R05,Small
C00386,Kumer LLC,Contractor,R04,Small
C00387,Dar-Amble,Fleet,R05,Medium
C00388,Sani-Gill,Rental,R04,Medium
C00389,Rai PLC,Fleet,R06,Medium
C00390,"Karpe, Tella and Pandya",Rental,R03,Small
C00391,Ranganathan Ltd,Fleet,R03,Medium
C00392,Sarin Inc,Rental,R01,Small
C00393,Brahmbhatt-Munshi,Fleet,R05,Small
C00394,"Sanghvi, Ravel and Sahni",Rental,R05,Medium
C00395,Contractor-Ravel,Contractor,R03,Small
C00396,Nair and Sons,Rental,R01,Small
C00397,"Sharma, Pathak and Chakrabarti",Fleet,R05,Small
C00398,Cherian-Kohli,Contractor,R01,Medium
C00399,Rattan-Viswanathan,Rental,R04,Medium
C00400,Randhawa LLC,Contractor,R06,Small
C00401,"Nori, Kant and Nath",Contractor,R03,Medium
C00402,Bose PLC,Contractor,R02,Small
C00403,"Comar, Wali and Uppal",Contractor,R04,Small
C00404,Palla LLC,Contractor,R05,Medium
C00405,"Divan, Keer and Chauhan",Contractor,R03,Medium
C00406,Kunda and Sons,Rental,R06,Large
C00407,Dua Ltd,Fleet,R01,Small
C00408,Goel Ltd,Fleet,R03,Medium
C00409,Shetty-Sen,Rental,R04,Medium
C00410,"Naidu, Mutti and Dora",Rental,R05,Large
C00411,Bir-Singh,Contractor,R01,Small
C00412,Mitter-Maharaj,Contractor,R05,Medium
C00413,"Bhalla, Pandey and Tripathi",Fleet,R03,Medium
C00414,Mukherjee Group,Fleet,R03,Small
C00415,Barad-Bhandari,Contractor,R01,Small
C00416,Mangat-Bose,Contractor,R05,Small
C00417,"Chana, Tripathi and Rajagopalan",Contractor,R01,Medium
C00418,Barman-Sengupta,Fleet,R02,Medium
C00419,"Guha, Nagy and Soni",Rental,R02,Medium
C00420,"Dora, Bhatia and Seshadri",Rental,R05,Medium
C00421,Oza Ltd,Contractor,R04,Small
C00422,Thaman Ltd,Contractor,R05,Small
C00423,Baral and Sons,Fleet,R02,Small
C00424,"Sarma, Sarna and Viswanathan",Government,R04,Small
C00425,"Dutt, Patla and Pradhan",Contractor,R04,Small
C00426,Ram-Rege,Fleet,R05,Small
C00427,Ben-Natt,Rental,R06,Small
C00428,Narayan Inc,Government,R01,Small
C00429,"Raju, Mander and Krishnan",Rental,R04,Small
C00430,"Doctor, Nath and Bumb",Contractor,R01,Small
C00431,"Dhaliwal, Palla and Mukherjee",Contractor,R03,Small
C00432,"Ramanathan, Dayal and Chad",Contractor,R02,Large
C00433,Puri-Narasimhan,Rental,R02,Medium
C00434,Vyas Inc,Rental,R02,Medium
C00435,"Sampath, Trivedi and Pathak",Fleet,R04,Small
C00436,Patil LLC,Fleet,R02,Medium
C00437,Kala LLC,Contractor,R05,Medium
C00438,Handa-Kara,Government,R03,Medium
C00439,Dubey Inc,Rental,R01,Small
C00440,Chaudhuri-Tripathi,Fleet,R05,Medium
C00441,"Vyas, Barad and Nayar",Contractor,R02,Medium
C00442,"Deep, Puri and Dube",Contractor,R03,Medium
C00443,Golla Ltd,Rental,R04,Medium
C00444,"Gandhi, Sarma and Bassi",Government,R02,Small
C00445,Patla-Khanna,Government,R01,Small
C00446,Mane-Sen,Contractor,R02,Small
C00447,Walla and Sons,Contractor,R06,Medium
C00448,Singh-Hari,Fleet,R04,Small
C00449,Sastry-Shenoy,Fleet,R04,Small
C00450,Raja-Thakkar,Rental,R04,Small
C00451,"Sahota, Edwin and Iyengar",Government,R02,Small
C00452,"Devi, Krishna and Ben",Rental,R03,Small
C00453,"Srivastava, Prabhu and Chauhan",Rental,R05,Medium
C00454,"Varty, Dash and Mane",Contractor,R01,Medium
C00455,Dyal LLC,Government,R02,Small
C00456,Varghese-Din,Rental,R02,Small
C00457,Chand-Kapadia,Government,R03,Small
C00458,Palla-Bala,Fleet,R06,Medium
C00459,Bera-Randhawa,Contractor,R01,Small
C00460,"Prakash, Keer and Raju",Fleet,R03,Small
C00461,Prasad and Sons,Rental,R01,Small
C00462,Nagar Inc,Contractor,R06,Medium
C00463,"Nayak, Dhingra and Devan",Fleet,R01,Medium
C00464,Mangat Group,Contractor,R03,Medium
C00465,"Dewan, Singh and Sen",Contractor,R05,Medium
C00466,"Ahluwalia, Buch and Bahl",Contractor,R04,Small
C00467,Kale-Doctor,Fleet,R03,Small
C00468,"Wable, Sampath and Choudhry",Contractor,R02,Small
C00469,Khanna-Mitra,Contractor,R03,Small
C00470,Batta and Sons,Government,R02,Small
C00471,Shankar-Bhatnagar,Contractor,R02,Small
C00472,Tata PLC,Rental,R03,Small
C00473,"Babu, Varma and Khurana",Contractor,R02,Large
C00474,"Dhawan, Manne and Sanghvi",Contractor,R02,Medium
C00475,Pandit and Sons,Rental,R04,Medium
C00476,"Saha, Grover and Chada",Contractor,R06,Medium
C00477,"Patel, Bir and Vora",Fleet,R04,Small
C00478,"Tripathi, Tripathi and Bahri",Fleet,R01,Medium
C00479,Singhal-Bassi,Government,R01,Small
C00480,"Ram, Prakash and Kulkarni",Contractor,R06,Medium
C00481,"Babu, Parikh and Bir",Contractor,R02,Small
C00482,Khosla-Chawla,Fleet,R01,Large
C00483,"Natarajan, Deol and Basu",Fleet,R04,Small
C00484,Nigam-Gill,Fleet,R04,Small
C00485,"Shetty, Srinivas and Gopal",Contractor,R04,Large
C00486,Bhatnagar Ltd,Contractor,R02,Small
C00487,Bansal-Memon,Contractor,R01,Medium
C00488,Bassi and Sons,Contractor,R06,Medium
C00489,Mutti LLC,Rental,R02,Medium
C00490,"Rao, Solanki and Kulkarni",Fleet,R04,Large
C00491,Halder LLC,Contractor,R04,Large
C00492,Batta-Narula,Government,R04,Small
C00493,Dash-Pillai,Contractor,R02,Medium
C00494,Ratta-Sarraf,Contractor,R02,Medium
C00495,Nori-Grover,Rental,R04,Medium
C00496,Tank-Pillai,Rental,R05,Small
C00497,"Loke, Butala and Samra",Fleet,R06,Medium
C00498,Sani PLC,Rental,R01,Large
C00499,Memon LLC,Contractor,R01,Large
C00500,Buch LLC,Fleet,R06,Small
C00501,"Merchant, Mohan and Sehgal",Contractor,R05,Small
C00502,"Sandhu, Ganesan and Sawhney",Rental,R05,Small
C00503,Sekhon-Basak,Contractor,R02,Medium
C00504,"Pandit, Saran and Maharaj",Fleet,R04,Medium
C00505,"Bhandari, Borde and Ravi",Contractor,R04,Small
C00506,Varghese-Dutta,Fleet,R04,Small
C00507,Dhar PLC,Fleet,R03,Small
C00508,"Sarma, Banerjee and Date",Fleet,R01,Small
C00509,Keer Ltd,Fleet,R04,Large
C00510,Pathak-Rajagopal,Fleet,R02,Medium
C00511,"Bali, Dube and Sengupta",Fleet,R03,Small
C00512,Prabhu-Sawhney,Contractor,R06,Small
C00513,Devan PLC,Fleet,R03,Small
C00514,Rao-Murthy,Fleet,R05,Large
C00515,"Mallick, Krish and Comar",Rental,R02,Small
C00516,Grewal Group,Contractor,R04,Small
C00517,"Ram, Dalal and Lala",Contractor,R06,Small
C00518,Sehgal-Kala,Fleet,R01,Medium
C00519,"Mangal, Swaminathan and Iyengar",Fleet,R01,Medium
C00520,Deshmukh Inc,Fleet,R03,Medium
C00521,Gera-Saxena,Fleet,R01,Small
C00522,Nagarajan Ltd,Fleet,R05,Small
C00523,Bhattacharyya-Mannan,Fleet,R06,Small
C00524,Dugar-Ghosh,Fleet,R03,Medium
C00525,Trivedi-Kapur,Fleet,R02,Small
C00526,Iyer and Sons,Contractor,R03,Medium
C00527,Tak Inc,Fleet,R05,Medium
C00528,Pillay-Sibal,Contractor,R01,Medium
C00529,"Dayal, Chadha and Bhatti",Contractor,R04,Small
C00530,Rao-Srinivas,Contractor,R04,Small
C00531,"Roy, Rout and Borah",Fleet,R04,Small
C00532,Nadig Ltd,Government,R02,Medium
C00533,Sengupta Group,Contractor,R04,Medium
C00534,"Varughese, Padmanabhan and Dave",Fleet,R01,Small
