service_job_id,machine_id,service_date,dealer_id,model_id,job_type,failure_code,downtime_days,labor_hours,service_cost_labor_inr,is_warranty,resolution_status
SJ0000131,MC01450,2023-04-24,D033,M01,Breakdown,F010,1,3.5,5250,1,Repeat
SJ0000132,MC00357,2023-04-25,D011,M02,Breakdown,F003,1,5.9,7670,1,Fixed
SJ0000133,MC00376,2023-04-25,D018,M03,Breakdown,F010,1,2.1,3150,1,Fixed
SJ0000134,MC00677,2023-04-25,D004,M01,Breakdown,F008,6,8.4,10920,1,Fixed
SJ0000135,MC01026,2023-04-26,D013,M04,Breakdown,F009,2,1.8,2340,1,Fixed
SJ0000136,MC01359,2023-04-27,D021,M01,Breakdown,F009,1,2.3,3220,1,Repeat
SJ0000137,MC00104,2023-04-28,D019,M01,Breakdown,F003,1,2.3,3450,1,Fixed
SJ0000138,MC00170,2023-04-29,D028,M01,Breakdown,F009,2,1.3,1690,1,Fixed
SJ0000139,MC00352,2023-04-29,D003,M04,Preventive,,1,3.9,5850,1,Fixed
SJ0000140,MC00604,2023-04-29,D026,M05,Breakdown,F010,1,1.5,2100,1,Fixed
SJ0000141,MC00843,2023-04-29,D012,M02,Breakdown,F003,1,4.3,5590,1,Fixed
SJ0000142,MC01021,2023-04-29,D031,M04,Breakdown,F003,1,2.0,2600,1,Fixed
SJ0000143,MC01025,2023-04-29,D024,M03,Breakdown,F006,2,3.7,5180,1,Fixed
SJ0000144,MC01026,2023-04-29,D013,M04,Breakdown,F006,5,6.6,8580,1,Repeat
SJ0000145,MC00725,2023-04-30,D013,M03,Breakdown,F010,5,3.3,4290,1,Fixed
SJ0000146,MC01004,2023-04-30,D034,M02,Preventive,,1,3.3,4290,1,Fixed
SJ0000147,MC01004,2023-04-30,D034,M02,Inspection,,0,1.5,1950,1,Fixed
SJ0000148,MC00250,2023-05-01,D006,M01,Breakdown,F009,3,2.5,3500,1,Fixed
SJ0000149,MC01364,2023-05-01,D023,M01,Breakdown,F009,2,1.8,2340,1,Fixed
SJ0000150,MC00117,2023-05-02,D026,M04,Breakdown,F003,2,2.9,4060,1,Fixed
SJ0000151,MC00157,2023-05-02,D017,M01,Breakdown,F010,1,3.5,5250,1,Fixed
SJ0000152,MC00172,2023-05-02,D035,M03,Breakdown,F009,1,3.0,4200,1,Fixed
SJ0000153,MC00415,2023-05-02,D005,M05,Breakdown,F010,2,4.2,5880,1,Fixed
SJ0000154,MC00436,2023-05-02,D024,M02,Preventive,,0,4.2,5880,1,Fixed
SJ0000155,MC00846,2023-05-02,D019,M01,Breakdown,F010,1,5.2,7800,1,Fixed
SJ0000156,MC00217,2023-05-03,D017,M01,Breakdown,F010,2,3.3,4950,1,Repeat
SJ0000157,MC00313,2023-05-03,D030,M03,Breakdown,F009,3,4.2,5460,1,Fixed
SJ0000158,MC00386,2023-05-04,D022,M03,Breakdown,F008,6,5.0,7000,1,Fixed
SJ0000159,MC00069,2023-05-05,D028,M02,Breakdown,F001,4,6.9,8970,1,Fixed
SJ0000160,MC00385,2023-05-05,D028,M02,Breakdown,F009,3,3.9,5070,1,Fixed
SJ0000161,MC00036,2023-05-06,D029,M05,Breakdown,F009,3,1.1,1650,1,Fixed
SJ0000162,MC00897,2023-05-06,D038,M04,Breakdown,F009,1,3.6,5400,1,Fixed
SJ0000163,MC00443,2023-05-07,D002,M06,Breakdown,F006,3,7.1,9940,1,Fixed
SJ0000164,MC01238,2023-05-07,D002,M06,Preventive,,0,2.7,3780,1,Fixed
SJ0000165,MC00087,2023-05-08,D025,M06,Breakdown,F010,2,4.7,6580,1,Fixed
SJ0000166,MC00528,2023-05-08,D010,M05,Breakdown,F003,3,2.6,3900,1,Fixed
SJ0000167,MC00825,2023-05-08,D023,M01,Breakdown,F009,3,4.5,5850,1,Fixed
SJ0000168,MC01031,2023-05-08,D021,M04,Breakdown,F009,3,1.6,2240,1,Fixed
SJ0000169,MC01270,2023-05-08,D009,M04,Preventive,,0,4.5,6300,1,Fixed
SJ0000170,MC01451,2023-05-08,D008,M06,Breakdown,F009,1,3.4,4760,1,Fixed
SJ0000171,MC00457,2023-05-09,D037,M03,Breakdown,F008,5,5.6,7280,1,Fixed
SJ0000172,MC00522,2023-05-09,D017,M02,Breakdown,F010,1,1.3,1950,1,Repeat
SJ0000173,MC00007,2023-05-10,D011,M06,Breakdown,F003,1,2.9,3770,1,Fixed
SJ0000174,MC00429,2023-05-10,D001,M01,Breakdown,F003,1,2.2,3300,1,Fixed
SJ0000175,MC00817,2023-05-11,D031,M01,Breakdown,F009,2,2.8,3640,1,Repeat
SJ0000176,MC00886,2023-05-11,D040,M02,Breakdown,F001,4,3.0,4500,1,Fixed
SJ0000177,MC00923,2023-05-11,D013,M01,Breakdown,F010,3,3.8,4940,1,Fixed
SJ0000178,MC00133,2023-05-12,D005,M03,Breakdown,F010,2,3.8,5320,1,Fixed
SJ0000179,MC00369,2023-05-12,D008,M05,Breakdown,F003,1,5.6,7840,1,Fixed
SJ0000180,MC01134,2023-05-12,D024,M02,Breakdown,F010,1,2.3,3220,1,Fixed
SJ0000181,MC00279,2023-05-13,D034,M02,Breakdown,F003,2,3.7,4810,1,Fixed
SJ0000182,MC00369,2023-05-13,D008,M05,Breakdown,F010,1,1.0,1400,1,Fixed
SJ0000183,MC00429,2023-05-13,D001,M01,Breakdown,F010,1,2.4,3600,1,Fixed
SJ0000184,MC00469,2023-05-13,D035,M01,Breakdown,F010,2,2.4,3360,1,Fixed
SJ0000185,MC00522,2023-05-13,D017,M02,Breakdown,F009,2,2.7,4050,1,Fixed
SJ0000186,MC00820,2023-05-13,D034,M02,Breakdown,F009,2,2.4,3120,1,Fixed
SJ0000187,MC00880,2023-05-13,D038,M03,Preventive,,0,3.9,5850,1,Fixed
SJ0000188,MC00880,2023-05-13,D038,M03,Inspection,,0,2.6,3900,1,Fixed
SJ0000189,MC00937,2023-05-13,D017,M03,Breakdown,F009,2,1.6,2400,1,Fixed
SJ0000190,MC00677,2023-05-14,D004,M01,Preventive,,1,3.2,4160,1,Fixed
SJ0000191,MC00677,2023-05-14,D004,M01,Inspection,,0,1.7,2210,1,Fixed
SJ0000192,MC00825,2023-05-14,D023,M01,Breakdown,F009,2,4.1,5330,1,Fixed
SJ0000193,MC01238,2023-05-16,D002,M06,Breakdown,F006,4,3.7,5180,1,Fixed
SJ0000194,MC01265,2023-05-16,D013,M03,Breakdown,F009,2,2.4,3120,1,Fixed
SJ0000195,MC00533,2023-05-17,D001,M03,Breakdown,F009,2,4.0,6000,1,Fixed
SJ0000196,MC00575,2023-05-17,D014,M05,Breakdown,F003,2,2.5,3250,1,Fixed
SJ0000197,MC00310,2023-05-18,D010,M06,Breakdown,F003,1,4.2,6300,1,Fixed
SJ0000198,MC00544,2023-05-18,D015,M02,Breakdown,F003,2,2.8,3920,1,Fixed
SJ0000199,MC01225,2023-05-18,D021,M01,Breakdown,F008,5,7.0,9800,1,Fixed
SJ0000200,MC00923,2023-05-19,D013,M01,Breakdown,F010,1,4.4,5720,1,Repeat
SJ0000201,MC01172,2023-05-19,D026,M03,Breakdown,F001,5,6.4,8960,1,Fixed
SJ0000202,MC00010,2023-05-20,D021,M04,Preventive,,1,2.4,3360,1,Fixed
SJ0000203,MC00574,2023-05-20,D016,M02,Breakdown,F009,1,5.1,6630,1,Fixed
SJ0000204,MC00233,2023-05-21,D034,M03,Breakdown,F006,6,5.9,7670,1,Fixed
SJ0000205,MC00414,2023-05-21,D005,M01,Breakdown,F009,2,1.0,1400,1,Fixed
SJ0000206,MC00873,2023-05-21,D030,M01,Breakdown,F010,2,3.0,3900,1,Fixed
SJ0000207,MC00890,2023-05-21,D007,M04,Breakdown,F003,1,3.3,4620,1,Fixed
SJ0000208,MC00974,2023-05-21,D022,M03,Breakdown,F009,2,4.2,5880,1,Fixed
SJ0000209,MC01069,2023-05-21,D031,M03,Preventive,,1,2.2,2860,1,Fixed
SJ0000210,MC00083,2023-05-22,D024,M04,Breakdown,F008,6,3.2,4480,1,Fixed
SJ0000211,MC00588,2023-05-22,D022,M05,Breakdown,F009,2,2.5,3500,1,Fixed
SJ0000212,MC01077,2023-05-22,D019,M03,Breakdown,F009,3,1.7,2550,1,Fixed
SJ0000213,MC00258,2023-05-23,D028,M04,Breakdown,F009,3,2.4,3120,1,Fixed
SJ0000214,MC00820,2023-05-23,D034,M02,Preventive,,0,1.7,2210,1,Fixed
SJ0000215,MC01359,2023-05-23,D021,M01,Breakdown,F010,1,4.0,5600,1,Fixed
SJ0000216,MC00829,2023-05-24,D023,M05,Preventive,,0,2.4,3120,1,Fixed
SJ0000217,MC00418,2023-05-25,D022,M05,Breakdown,F006,3,1.0,1400,1,Fixed
SJ0000218,MC00758,2023-05-25,D010,M01,Breakdown,F010,1,1.2,1800,1,Fixed
SJ0000219,MC00789,2023-05-25,D034,M03,Breakdown,F010,1,2.3,2990,1,Fixed
SJ0000220,MC00843,2023-05-25,D012,M02,Breakdown,F010,2,2.0,2600,1,Fixed
SJ0000221,MC01025,2023-05-25,D024,M03,Breakdown,F010,1,2.3,3220,1,Fixed
SJ0000222,MC01108,2023-05-25,D005,M01,Breakdown,F003,3,5.5,7700,1,Fixed
SJ0000223,MC01102,2023-05-26,D020,M03,Breakdown,F010,2,3.0,4200,1,Fixed
SJ0000224,MC01270,2023-05-26,D009,M04,Breakdown,F010,1,3.7,5180,1,Fixed
SJ0000225,MC01434,2023-05-26,D012,M03,Breakdown,F010,1,3.7,4810,1,Fixed
SJ0000226,MC00669,2023-05-27,D025,M06,Breakdown,F010,1,2.7,3780,1,Repeat
SJ0000227,MC01004,2023-05-27,D034,M02,Breakdown,F010,1,2.4,3120,1,Fixed
SJ0000228,MC00118,2023-05-28,D036,M01,Breakdown,F010,1,5.8,8120,1,Repeat
SJ0000229,MC00454,2023-05-28,D008,M01,Preventive,,1,6.1,8540,1,Fixed
SJ0000230,MC00454,2023-05-28,D008,M01,Inspection,,0,1.3,1820,1,Fixed
SJ0000231,MC00580,2023-05-28,D021,M04,Breakdown,F006,4,6.8,9520,1,Fixed
SJ0000232,MC01434,2023-05-28,D012,M03,Breakdown,F010,1,3.1,4030,1,Fixed
SJ0000233,MC00233,2023-05-29,D034,M03,Breakdown,F003,1,1.4,1820,1,Fixed
SJ0000234,MC00635,2023-05-29,D019,M01,Breakdown,F008,5,8.1,12150,1,Fixed
SJ0000235,MC00127,2023-05-30,D031,M02,Preventive,,1,1.4,1820,1,Fixed
SJ0000236,MC00147,2023-05-30,D012,M01,Breakdown,F009,2,3.5,4550,1,Fixed
SJ0000237,MC00439,2023-05-30,D030,M04,Breakdown,F003,1,2.1,2730,1,Fixed
SJ0000238,MC00752,2023-05-30,D023,M02,Breakdown,F001,2,5.9,7670,1,Fixed
SJ0000239,MC00018,2023-05-31,D018,M01,Breakdown,F008,5,6.3,9450,1,Fixed
SJ0000240,MC00246,2023-05-31,D011,M03,Breakdown,F003,1,3.8,4940,1,Fixed
SJ0000241,MC00752,2023-05-31,D023,M02,Breakdown,F006,3,6.9,8970,1,Fixed
SJ0000242,MC00880,2023-05-31,D038,M03,Preventive,,0,3.0,4500,1,Fixed
SJ0000243,MC00886,2023-05-31,D040,M02,Breakdown,F003,2,2.5,3750,1,Fixed
SJ0000244,MC01236,2023-05-31,D038,M01,Breakdown,F010,1,3.7,5550,1,Fixed
SJ0000245,MC00036,2023-06-01,D029,M05,Breakdown,F006,3,6.9,10350,1,Fixed
SJ0000246,MC00704,2023-06-01,D019,M02,Preventive,,0,1.7,2550,1,Fixed
SJ0000247,MC00820,2023-06-01,D034,M02,Breakdown,F009,2,1.4,1820,1,Fixed
SJ0000248,MC00829,2023-06-01,D023,M05,Breakdown,F001,2,6.1,7930,1,Fixed
SJ0000249,MC01113,2023-06-01,D023,M03,Breakdown,F010,2,3.2,4160,1,Fixed
SJ0000250,MC01268,2023-06-01,D022,M03,Breakdown,F006,6,6.7,9380,1,Fixed
SJ0000251,MC00010,2023-06-02,D021,M04,Breakdown,F009,1,2.3,3220,1,Fixed
SJ0000252,MC00120,2023-06-02,D040,M04,Preventive,,1,3.4,5100,1,Fixed
SJ0000253,MC00120,2023-06-02,D040,M04,Inspection,,0,1.5,2250,1,Fixed
SJ0000254,MC00411,2023-06-02,D002,M04,Breakdown,F006,3,6.0,8400,1,Repeat
SJ0000255,MC00620,2023-06-02,D025,M01,Breakdown,F010,1,3.5,4900,1,Fixed
SJ0000256,MC01343,2023-06-02,D035,M01,Preventive,,1,4.8,6720,1,Fixed
SJ0000257,MC00720,2023-06-03,D036,M06,Breakdown,F009,3,2.2,3080,1,Fixed
SJ0000258,MC00772,2023-06-03,D019,M05,Breakdown,F006,3,6.6,9900,1,Fixed
SJ0000259,MC01277,2023-06-03,D029,M02,Breakdown,F010,2,3.5,5250,1,Repeat
SJ0000260,MC00102,2023-06-04,D031,M05,Breakdown,F009,3,5.7,7410,1,Fixed
SJ0000261,MC01462,2023-06-04,D012,M05,Breakdown,F009,3,1.4,1820,1,Fixed
SJ0000262,MC01018,2023-06-05,D022,M01,Breakdown,F008,2,3.5,4900,1,Fixed
SJ0000263,MC01071,2023-06-05,D010,M03,Breakdown,F001,1,4.7,7050,1,Fixed
SJ0000264,MC01464,2023-06-06,D004,M06,Breakdown,F010,2,2.6,3380,1,Fixed
SJ0000265,MC00669,2023-06-07,D025,M06,Breakdown,F003,1,1.8,2520,1,Fixed
SJ0000266,MC00178,2023-06-08,D003,M03,Breakdown,F009,2,2.7,4050,1,Fixed
SJ0000267,MC00010,2023-06-09,D021,M04,Preventive,,0,5.9,8260,1,Fixed
SJ0000268,MC00171,2023-06-09,D009,M05,Breakdown,F001,3,7.0,9800,1,Fixed
SJ0000269,MC00287,2023-06-09,D013,M02,Breakdown,F008,8,9.3,12090,1,Repeat
SJ0000270,MC00359,2023-06-09,D003,M01,Breakdown,F003,1,5.1,7650,1,Fixed
SJ0000271,MC00620,2023-06-09,D025,M01,Preventive,,0,3.7,5180,1,Fixed
SJ0000272,MC01094,2023-06-09,D015,M01,Breakdown,F003,2,1.7,2380,1,Repeat
SJ0000273,MC01407,2023-06-09,D032,M02,Breakdown,F009,1,3.5,5250,1,Fixed
SJ0000274,MC00127,2023-06-10,D031,M02,Breakdown,F009,3,1.0,1300,1,Fixed
SJ0000275,MC00243,2023-06-10,D028,M01,Breakdown,F010,1,3.1,4030,1,Fixed
SJ0000276,MC00725,2023-06-10,D013,M03,Breakdown,F009,2,2.6,3380,1,Fixed
SJ0000277,MC00783,2023-06-11,D040,M04,Breakdown,F003,3,2.9,4350,1,Fixed
SJ0000278,MC00820,2023-06-11,D034,M02,Breakdown,F008,8,2.7,3510,1,Repeat
SJ0000279,MC01464,2023-06-11,D004,M06,Breakdown,F009,4,2.5,3250,1,Fixed
SJ0000280,MC00820,2023-06-12,D034,M02,Breakdown,F003,2,2.1,2730,1,Fixed
